id,team,img-team,league,img-league
115,CFR Cluj,https://futhead.cursecdn.com/static/img/22/clubs/114385.png,Liga I,https://futhead.cursecdn.com/static/img/22/leagues/330.png
116,CS Mioveni,https://futhead.cursecdn.com/static/img/22/clubs/113380.png,Liga I,https://futhead.cursecdn.com/static/img/22/leagues/330.png
117,CSKA Moscow,https://futhead.cursecdn.com/static/img/22/clubs/315.png,League of Russia,https://futhead.cursecdn.com/static/img/22/leagues/3006.png
118,Cagliari,https://futhead.cursecdn.com/static/img/22/clubs/1842.png,Serie A TIM,https://futhead.cursecdn.com/static/img/22/leagues/31.png
119,Cambridge Utd,https://futhead.cursecdn.com/static/img/22/clubs/1944.png,EFL League One,https://futhead.cursecdn.com/static/img/22/leagues/60.png
120,Cangzhou Lions,https://futhead.cursecdn.com/static/img/22/clubs/112985.png,Chinese Football Association Super League,https://futhead.cursecdn.com/static/img/22/leagues/2012.png
121,Cardiff City,https://futhead.cursecdn.com/static/img/22/clubs/1961.png,EFL Championship,https://futhead.cursecdn.com/static/img/22/leagues/14.png
122,Carlisle United,https://futhead.cursecdn.com/static/img/22/clubs/1480.png,EFL League Two,https://futhead.cursecdn.com/static/img/22/leagues/61.png
123,Celtic,https://futhead.cursecdn.com/static/img/22/clubs/78.png,cinch Premiership,https://futhead.cursecdn.com/static/img/22/leagues/50.png
124,Central Coast,https://futhead.cursecdn.com/static/img/22/clubs/111396.png,A-League,https://futhead.cursecdn.com/static/img/22/leagues/351.png
125,Central Córdoba,https://futhead.cursecdn.com/static/img/22/clubs/112965.png,Liga Profesional de Fútbol,https://futhead.cursecdn.com/static/img/22/leagues/353.png
126,Cercle Brugge,https://futhead.cursecdn.com/static/img/22/clubs/1750.png,1A Pro League,https://futhead.cursecdn.com/static/img/22/leagues/4.png
127,Cerezo Osaka,https://futhead.cursecdn.com/static/img/22/clubs/101148.png,Meiji Yasuda J1 League,https://futhead.cursecdn.com/static/img/22/leagues/349.png
128,Changchun Yatai,https://futhead.cursecdn.com/static/img/22/clubs/111769.png,Chinese Football Association Super League,https://futhead.cursecdn.com/static/img/22/leagues/2012.png
